sgRNA	Gene	test1.D0	test1.T14	test1.D14	test3.D0	test3.T14	test3.D14
HGLibA_57214	hsa-mir-1180	86	108	87	98	172	71
HGLibA_16886	FARSB	147	69	43	127	55	16
HGLibA_30856	MYO5C	54	89	63	32	113	43
HGLibA_08654	CDH18	111	105	144	65	97	32
HGLibA_14815	EIF4E	140	171	138	168	232	162
HGLibA_60857	hsa-mir-4687	197	233	236	185	269	182
HGLibA_42040	RPP40	156	143	143	147	149	84
HGLibA_63445	hsa-mir-6817	146	61	130	142	146	109
HGLibA_06419	C5orf63	198	167	232	267	223	261
HGLibA_53841	VSIG10L	84	97	107	129	95	68
HGLibA_51061	TP53I11	164	133	142	226	115	121
HGLibA_12195	CYP4F8	195	148	128	95	186	123
HGLibA_56035	ZNF460	119	114	116	116	179	92
HGLibA_56823	ZNF827	213	201	149	216	199	247
HGLibA_61813	hsa-mir-541	28	20	24	38	33	43
HGLibA_19155	GJA9	102	115	103	93	90	59
HGLibA_52968	ULK1	186	224	220	134	282	126
HGLibA_14963	ELOVL3	70	106	89	106	109	55
HGLibA_48954	TECTA	169	148	148	230	236	224
HGLibA_62096	hsa-mir-549a	286	391	251	321	334	274
HGLibA_65225	NonTargetingControlGuideForHuman_0842	139	180	234	168	148	132
HGLibA_20081	GPR75	127	153	134	105	138	84
HGLibA_49568	TJAP1	90	164	139	144	181	133
HGLibA_18313	G6PD	164	67	67	203	22	97
HGLibA_05190	C11orf82	34	20	50	34	13	41
HGLibA_16515	FAM221A	227	183	166	290	120	140
HGLibA_40004	RABEP2	110	87	63	66	76	81
HGLibA_63345	hsa-mir-6792	100	89	107	118	107	132
HGLibA_09480	CHMP2B	181	184	205	296	539	303
HGLibA_44756	SLC25A47	273	255	249	280	239	251
HGLibA_34921	PABPC1	158	101	125	139	168	85
HGLibA_58669	hsa-mir-3152	238	171	219	218	300	225
HGLibA_50402	TMEM43	349	290	414	593	509	435
HGLibA_23336	INPP4A	156	169	237	279	167	126
HGLibA_13808	DPAGT1	55	35	47	65	44	24
HGLibA_30587	MUTYH	99	145	135	50	115	95
HGLibA_17528	FILIP1	242	271	216	263	235	208
HGLibA_52052	TTC13	124	80	102	158	103	120
HGLibA_55444	ZNF114	59	59	132	120	154	85
HGLibA_49184	TFPI	145	116	139	187	140	174
HGLibA_16342	FAM187B	79	88	83	56	129	106
HGLibA_55826	ZNF335	105	113	105	91	164	83
HGLibA_11750	CTU1	317	381	315	279	414	238
HGLibA_32859	NTN4	125	101	88	107	101	77
HGLibA_16935	FBF1	72	51	35	29	143	25
HGLibA_45948	SNRNP27	115	44	55	136	61	32
HGLibA_52258	TUBA3E	82	99	104	99	84	77
HGLibA_17928	FOXO4	142	163	167	190	262	118
HGLibA_51735	TRPC4	85	46	52	56	60	66
HGLibA_12543	DCTN1	50	73	56	29	53	40
HGLibA_55973	ZNF429	160	141	112	108	211	150
HGLibA_62674	hsa-mir-6131	325	320	243	297	316	249
HGLibA_39210	PSMG3	192	133	97	133	223	74
HGLibA_49517	TIMM44	219	175	254	175	305	238
HGLibA_46613	SPEF2	114	82	54	92	106	75
HGLibA_21132	HEMK1	70	69	25	68	139	15
HGLibA_01114	AFF4	116	57	82	38	48	42
HGLibA_03186	ASAH1	40	46	64	67	23	39
HGLibA_51799	TRRAP	28	112	50	25	112	53
HGLibA_09351	CHAF1B	267	350	218	325	418	171
HGLibA_59361	hsa-mir-370	283	191	254	191	284	157
HGLibA_54369	WNT4	43	79	53	108	58	54
HGLibA_03247	ASB7	81	48	60	25	56	63
HGLibA_28429	MATN2	161	141	123	128	182	168
HGLibA_11698	CTSD	208	247	281	187	322	188
HGLibA_25496	KRT37	103	65	76	80	166	93
HGLibA_06432	C6orf10	222	248	302	374	408	300
HGLibA_06407	C5orf54	225	207	163	213	381	132
HGLibA_58022	hsa-mir-18b	196	142	285	154	150	152
HGLibA_37241	PLSCR4	320	224	320	300	282	227
HGLibA_59668	hsa-mir-3977	74	73	65	87	101	65
HGLibA_04651	BNIP1	171	96	159	168	148	153
HGLibA_16750	FAM83D	109	141	56	123	143	100
HGLibA_52584	UBE2D2	121	66	94	102	117	38
HGLibA_62751	hsa-mir-628	61	74	97	44	20	18
HGLibA_47976	SYNE1	52	69	43	33	23	39
HGLibA_40607	RBMXL3	195	171	160	198	253	134
HGLibA_52054	TTC14	293	325	257	257	488	229
HGLibA_33426	OPN1MW	64	42	50	49	160	86
HGLibA_50636	TMPRSS2	253	269	219	299	309	163
HGLibA_21400	HIST1H2AJ	104	36	55	19	54	24
HGLibA_64731	NonTargetingControlGuideForHuman_0348	244	232	207	206	264	227
HGLibA_07718	CCDC179	229	213	196	225	276	171
HGLibA_09327	CGREF1	124	128	84	92	191	117
HGLibA_11077	CRBN	98	47	78	31	39	54
HGLibA_50463	TMEM59L	100	114	173	164	152	110
HGLibA_13268	DIRC2	61	86	64	56	79	55
HGLibA_25823	KRTAP7-1	242	245	263	188	233	215
HGLibA_17720	FMR1	128	154	104	87	30	72
HGLibA_58587	hsa-mir-3133	20	13	7	13	17	4
HGLibA_33654	OR1D2	82	106	87	36	88	97
HGLibA_04470	BHLHA9	167	135	175	129	116	163
HGLibA_46389	SPANXC	183	162	157	151	192	124
HGLibA_60668	hsa-mir-4641	144	127	227	150	213	110
HGLibA_63153	hsa-mir-675	14	12	27	5	15	15
HGLibA_30239	MSRA	162	156	227	223	208	186
HGLibA_03438	ATF3	77	69	48	38	44	39
HGLibA_38499	PRKAB2	130	135	137	147	136	114
HGLibA_38760	PRPS2	76	103	136	104	179	30
HGLibA_42405	RTN3	63	87	56	41	16	34
HGLibA_49493	TIMM10	9	34	9	39	5	10
HGLibA_47401	STATH	27	52	45	45	75	54
HGLibA_13942	DR1	269	242	224	271	297	177
HGLibA_15900	FAAH	163	185	178	143	202	130
HGLibA_30669	MYCBPAP	62	69	50	69	36	41
HGLibA_29753	MPP3	327	371	268	256	381	233
HGLibA_38993	PRX	132	128	167	146	138	85
HGLibA_06701	C9orf163	278	223	223	369	289	238
HGLibA_39866	RAB2A	100	82	89	96	116	98
HGLibA_60595	hsa-mir-4534	167	136	139	101	183	113
HGLibA_63415	hsa-mir-6809	61	57	33	124	13	71
HGLibA_28029	MALL	158	180	107	144	207	162
HGLibA_41397	RNASE12	65	83	101	118	121	47
HGLibA_20051	GPR52	532	517	533	582	459	446
HGLibA_50184	TMEM202	114	98	126	167	197	105
HGLibA_13674	DNER	105	69	61	62	77	69
HGLibA_33634	OR14I1	132	99	118	113	153	92
HGLibA_53661	VIP	139	97	101	154	35	91
HGLibA_16318	FAM181A	163	100	80	163	280	137
HGLibA_31018	NAB1	65	86	121	91	69	67
HGLibA_31248	NBR1	121	111	74	140	122	125
HGLibA_58909	hsa-mir-3200	232	232	278	277	282	226
HGLibA_34806	OVOL3	77	116	122	128	153	108
HGLibA_15667	ETV7	134	151	148	181	211	126
HGLibA_54772	ZAK	302	296	252	214	526	305
HGLibA_05249	C12orf45	179	207	193	89	244	176
HGLibA_12037	CYGB	221	210	256	216	168	228
HGLibA_24258	KCNJ13	105	76	151	115	59	80
HGLibA_46597	SPDYE5	98	20	40	69	22	26
HGLibA_31094	NANOGNB	180	198	197	260	320	191
HGLibA_25235	KLK10	94	88	133	62	125	103
HGLibA_62588	hsa-mir-6082	190	252	216	148	228	138
HGLibA_25423	KRT13	555	494	551	589	501	459
HGLibA_17691	FMN2	156	126	180	101	222	70
HGLibA_29771	MPPED1	55	56	94	105	94	44
HGLibA_03094	ARPC5L	66	70	122	225	148	147
HGLibA_09843	CLCNKB	94	75	127	168	145	107
HGLibA_47467	STK19	173	164	292	192	302	152
HGLibA_34270	OR5C1	84	208	139	137	185	110
HGLibA_14985	ELP4	349	418	320	322	376	265
HGLibA_34261	OR5B2	114	101	116	109	188	136
HGLibA_46239	SOX14	97	127	87	138	200	118
HGLibA_27028	LOR	104	94	133	168	130	175
HGLibA_27278	LRRC2	60	73	85	77	160	93
HGLibA_24764	KIAA1462	102	64	111	110	114	105
HGLibA_41820	RPAP3	375	240	275	523	284	281
HGLibA_32544	NPW	49	88	28	110	50	48
HGLibA_58037	hsa-mir-190b	14	16	11	14	19	28
HGLibA_15601	ESX1	171	108	159	175	156	92
HGLibA_36280	PGPEP1	139	118	163	92	155	77
HGLibA_27848	MAD2L1BP	148	151	130	102	188	133
HGLibA_25207	KLHL40	302	331	345	298	254	267
HGLibA_46785	SPPL3	131	173	116	134	122	91
HGLibA_04108	BAHCC1	145	134	97	123	187	130
HGLibA_02561	APP	224	200	259	177	358	244
HGLibA_00847	ADAMTSL1	195	231	235	275	327	147
HGLibA_39013	PSD	116	145	94	134	166	136
HGLibA_13620	DNAJC4	158	208	222	392	299	255
HGLibA_47524	STMN4	120	126	126	198	270	138
HGLibA_09119	CEP170B	187	202	165	173	277	154
HGLibA_48742	TCEB3B	100	134	189	86	95	52
HGLibA_10836	COX5A	103	80	109	76	170	58
HGLibA_56416	ZNF624	79	100	105	103	53	133
HGLibA_62002	hsa-mir-548h-3	50	36	34	7	10	48
HGLibA_12992	DERA	174	115	158	101	133	111
HGLibA_30010	MRPL51	188	175	138	160	150	196
HGLibA_19811	GPIHBP1	103	175	115	123	154	127
HGLibA_13326	DLG2	81	133	70	85	56	90
HGLibA_40898	REXO4	80	85	78	69	45	57
HGLibA_35461	PCDHA9	76	112	158	100	210	96
HGLibA_17418	FGF7	74	63	84	76	68	55
HGLibA_00674	ACTR8	210	205	127	184	252	134
HGLibA_43108	SDCBP	201	202	176	280	200	194
HGLibA_42959	SCML1	161	268	205	219	129	214
HGLibA_61869	hsa-mir-548ae-1	40	37	40	35	44	34
HGLibA_14368	EBLN2	260	228	347	321	578	316
HGLibA_31125	NAPA	60	40	66	29	11	12
HGLibA_08847	CDKN3	228	231	178	134	279	202
HGLibA_01806	AMMECR1L	23	17	24	35	35	25
HGLibA_06666	C9orf116	187	166	109	174	145	194
HGLibA_29811	MRAP2	288	237	440	227	233	226
HGLibA_12548	DCTN2	200	248	243	199	336	236
HGLibA_62400	hsa-mir-576	70	110	134	66	111	56
HGLibA_39282	PTCHD4	320	330	314	427	344	268
HGLibA_44324	SLAMF9	65	63	93	90	88	70
HGLibA_24755	KIAA1430	224	292	314	392	296	275
HGLibA_59939	hsa-mir-4307	151	124	95	217	156	140
HGLibA_19753	GPBAR1	104	60	114	76	65	83
HGLibA_19336	GLT8D1	231	150	182	149	111	112
HGLibA_33606	OR13C5	188	173	132	140	175	110
HGLibA_13965	DRD3	179	148	102	224	245	134
HGLibA_40526	RBM28	108	58	23	84	63	40
HGLibA_45979	SNRPD2	28	12	50	57	85	52
HGLibA_05747	C1orf111	288	299	268	236	247	233
HGLibA_08601	CDCA2	173	184	191	246	394	208
HGLibA_21196	HES7	179	142	190	235	341	173
HGLibA_17173	FCER2	110	147	117	162	122	123
HGLibA_56153	ZNF518B	83	51	70	154	138	88
HGLibA_54039	WDR18	256	255	290	254	550	237
HGLibA_22501	ICAM3	148	161	110	154	236	180
HGLibA_10232	CMTR1	400	497	362	447	460	231
HGLibA_61044	hsa-mir-4737	131	94	141	178	182	131
HGLibA_40354	RASGRP4	144	96	133	170	149	148
HGLibA_09257	CFDP1	151	134	111	172	94	106
HGLibA_14570	EFHC1	213	266	249	228	181	212
HGLibA_41145	RHCE	140	132	149	168	182	125
HGLibA_17670	FLT3LG	54	68	80	44	45	58
HGLibA_63368	hsa-mir-6798	137	105	111	109	83	84
HGLibA_44474	SLC17A6	422	322	365	400	424	376
HGLibA_26144	LCE4A	178	175	203	259	250	182
HGLibA_56214	ZNF551	179	182	183	202	248	216
HGLibA_30170	MSANTD1	145	149	175	220	99	120
HGLibA_52569	UBD	205	141	153	186	172	125
HGLibA_36808	PKDCC	155	110	85	83	61	80
HGLibA_45984	SNRPE	125	155	141	179	177	159
HGLibA_06391	C5orf47	166	214	210	309	174	210
HGLibA_07680	CCDC168	217	238	227	261	315	178
HGLibA_25670	KRTAP19-3	73	103	119	34	94	83
HGLibA_53812	VPS54	118	83	100	90	62	41
HGLibA_29016	METTL6	95	86	74	188	140	96
HGLibA_56665	ZNF746	313	315	286	288	436	309
HGLibA_27343	LRRC3B	106	62	92	33	134	55
HGLibA_14049	DSTYK	51	32	35	56	34	40
HGLibA_40183	RAMP2	42	75	41	17	0	32
HGLibA_24272	KCNJ2	194	169	188	128	147	119
HGLibA_29488	MMP13	191	191	197	157	186	180
HGLibA_34825	OXLD1	238	145	120	202	297	93
HGLibA_49713	TM6SF2	218	144	160	146	191	155
HGLibA_52639	UBE2NL	234	258	225	313	378	277
HGLibA_46624	SPERT	87	104	110	123	111	112
HGLibA_19130	GIT1	130	114	112	134	38	57
HGLibA_20504	GSTZ1	239	300	287	304	150	280
HGLibA_08130	CCNT2	42	53	61	33	61	27
HGLibA_20379	GRSF1	61	51	59	56	102	50
HGLibA_29635	MOK	105	120	120	83	63	65
HGLibA_00525	ACPP	196	197	241	191	351	244
HGLibA_55476	ZNF138	193	168	170	152	160	99
HGLibA_37161	PLGLB1	93	126	93	101	140	87
HGLibA_20593	GTF3C5	143	151	166	149	227	114
HGLibA_56656	ZNF737	177	190	143	143	182	153
HGLibA_63412	hsa-mir-6809	99	52	61	56	37	49
HGLibA_49820	TMED7	288	263	265	339	403	233
HGLibA_28949	METTL11B	140	170	194	131	176	146
HGLibA_64044	hsa-mir-802	107	82	82	131	21	72
HGLibA_54876	ZBTB4	132	117	91	90	197	84
HGLibA_62182	hsa-mir-5585	79	89	73	72	114	73
HGLibA_04063	BACE2	77	81	111	107	79	106
HGLibA_26038	LARP4B	179	149	157	258	251	183
HGLibA_60811	hsa-mir-4674	362	302	296	326	606	344
HGLibA_24592	KIAA0141	267	301	319	273	194	200
HGLibA_37734	POTEG	342	229	222	266	378	136
HGLibA_60046	hsa-mir-4330	64	76	60	59	185	46
HGLibA_55712	ZNF274	41	29	44	62	49	21
HGLibA_30889	MYOM1	30	55	31	59	42	50
HGLibA_21866	HOMER2	88	96	73	47	136	33
HGLibA_43946	SH3GL1	176	132	172	171	269	180
HGLibA_53090	UPP2	93	101	119	104	145	79
HGLibA_23284	ING1	206	215	184	185	269	125
HGLibA_11892	CXCR5	90	59	35	76	83	73
HGLibA_62533	hsa-mir-6070	101	82	89	21	53	49
HGLibA_16123	FAM134A	35	32	25	34	114	35
HGLibA_05950	C1QTNF6	131	157	163	152	180	149
HGLibA_04886	BSX	51	25	33	20	49	33
HGLibA_08204	CCT5	289	368	383	315	361	301
HGLibA_21071	HEATR3	117	148	91	292	171	139
HGLibA_10353	CNOT8	204	203	199	178	155	116
HGLibA_34937	PABPC4	364	345	352	296	380	231
HGLibA_17250	FDCSP	314	300	345	282	346	271
HGLibA_00560	ACSL4	116	127	131	115	197	175
HGLibA_16879	FARS2	186	176	176	91	139	168
HGLibA_04393	BEAN1	250	266	212	222	252	202
HGLibA_41124	RHBDD1	207	180	259	293	251	184
HGLibA_23435	INTS9	133	111	42	142	78	80
HGLibA_11797	CUTA	71	98	106	75	71	47
HGLibA_56284	ZNF573	133	146	147	147	148	122
HGLibA_12716	DDX43	204	170	195	198	246	245
HGLibA_45530	SLK	135	146	187	184	179	124
HGLibA_40262	RAPGEFL1	62	58	50	34	45	30
HGLibA_03042	ARMCX2	171	106	114	155	136	133
HGLibA_32899	NUB1	190	191	253	233	361	162
HGLibA_31039	NACC1	100	137	122	123	280	98
HGLibA_60741	hsa-mir-4658	148	139	195	96	209	79
HGLibA_50580	TMF1	304	243	279	305	332	168
HGLibA_54662	YES1	114	134	88	203	275	180
HGLibA_39495	PTPRD	90	93	141	146	169	103
HGLibA_13196	DHX38	89	42	44	134	41	55
HGLibA_40471	RBL2	57	53	22	18	2	61
HGLibA_40659	RBX1	221	114	48	193	112	62
HGLibA_64286	hsa-mir-924	85	91	70	77	139	123
HGLibA_16798	FAM92A1	126	163	119	126	88	148
HGLibA_06829	CAAP1	265	206	267	280	343	184
HGLibA_03503	ATG7	150	123	132	128	79	121
HGLibA_29639	MON1A	66	86	54	68	51	34
HGLibA_51191	TPRX1	136	132	101	111	192	121
HGLibA_28163	MAP3K10	182	97	204	139	289	182
HGLibA_46012	SNTN	296	288	270	272	467	225
HGLibA_35127	PAPD7	61	121	100	15	100	61
HGLibA_28757	MED15	109	151	144	191	133	137
HGLibA_36546	PIGB	110	111	106	145	79	140
HGLibA_34583	OR9Q1	89	76	82	44	33	46
HGLibA_61142	hsa-mir-4761	51	47	40	72	79	47
HGLibA_03841	ATXN2L	199	226	188	206	322	163
HGLibA_29689	MOSPD3	144	151	186	213	133	173
HGLibA_13060	DGKB	72	37	60	122	93	61
HGLibA_51087	TP53TG3D	87	58	50	70	68	75
HGLibA_31924	NID1	188	169	153	180	264	195
HGLibA_12674	DDX23	212	150	187	303	242	199
HGLibA_09523	CHPF	305	347	264	300	337	300
HGLibA_07343	CASS4	250	203	237	162	242	204
HGLibA_05035	C10orf113	131	62	100	134	191	133
HGLibA_50044	TMEM168	433	370	430	494	350	354
HGLibA_61430	hsa-mir-5007	74	81	83	53	117	139
HGLibA_40224	RAP1B	50	38	41	25	77	45
HGLibA_14625	EGFL6	196	177	230	284	257	212
HGLibA_24021	KALRN	155	229	188	130	170	132
HGLibA_07148	CAPN11	162	140	135	128	145	118
HGLibA_14128	DUSP1	103	79	99	153	90	129
HGLibA_12400	DBP	109	104	57	121	104	104
HGLibA_35707	PCYT2	125	71	52	86	155	74
HGLibA_54854	ZBTB26	212	157	175	301	307	192
HGLibA_56771	ZNF792	152	132	146	177	83	124
HGLibA_35210	PARP1	178	164	286	174	314	150
HGLibA_57091	ZZEF1	32	71	40	49	49	53
HGLibA_06056	C22orf23	127	118	139	201	127	173
HGLibA_22612	IFI44	195	160	200	175	212	174
HGLibA_13681	DNLZ	151	100	156	109	157	91
HGLibA_23178	IL5RA	124	138	160	167	256	129
HGLibA_17074	FBXO33	154	163	213	153	228	132
HGLibA_05751	C1orf112	75	63	86	126	123	70
HGLibA_07572	CCDC122	76	102	114	175	39	110
HGLibA_33391	ONECUT1	97	165	153	186	226	173
HGLibA_43890	SH2D2A	84	152	92	69	72	51
HGLibA_14441	EDC3	85	118	105	97	135	135
HGLibA_01647	ALKBH1	240	247	188	228	331	216
HGLibA_22185	HSD17B14	223	175	177	191	280	182
HGLibA_13997	DSCAM	248	159	145	130	260	199
HGLibA_27006	LOC730183	44	67	92	45	44	49
HGLibA_39437	PTPN12	47	46	88	63	134	80
HGLibA_35696	PCYOX1L	66	82	54	36	41	29
HGLibA_19070	GIMAP1	103	98	107	125	132	70
HGLibA_65192	NonTargetingControlGuideForHuman_0809	111	104	100	166	144	98
HGLibA_64315	hsa-mir-935	62	60	49	66	51	24
HGLibA_08221	CCZ1	59	58	31	19	37	20
HGLibA_22752	IFT20	336	373	463	375	381	424
HGLibA_00901	ADCK5	121	116	114	179	132	106
HGLibA_53902	VWA3A	173	155	145	207	233	143
HGLibA_24838	KIAA2013	279	211	186	219	310	282
HGLibA_33649	OR1C1	330	265	358	278	321	357
HGLibA_07051	CALU	47	78	56	40	50	54
HGLibA_34695	OSMR	138	85	179	127	144	72
HGLibA_14594	EFNA5	129	124	92	159	254	93
HGLibA_00581	ACSM4	187	228	190	318	226	215
HGLibA_56277	ZNF571	146	178	106	150	362	217
HGLibA_24179	KCND3	251	222	130	245	170	140
HGLibA_15084	EMR1	71	74	116	148	143	57
HGLibA_06956	CACUL1	137	135	155	86	95	73
HGLibA_13210	DHX9	113	68	71	155	53	75
HGLibA_12426	DCAF13	150	147	70	98	150	96
HGLibA_45165	SLC44A4	207	184	152	171	267	191
HGLibA_48208	TAF13	127	209	161	158	166	145
HGLibA_20404	GSDMA	226	272	240	298	219	208
HGLibA_35340	PBRM1	35	61	76	64	75	70
HGLibA_42313	RSG1	237	319	192	262	306	156
HGLibA_26628	LIPM	176	246	303	210	227	206
HGLibA_57267	hsa-mir-1202	59	38	20	16	50	7
HGLibA_05917	C1QBP	171	184	181	228	144	121
HGLibA_42695	SAMD8	99	74	88	43	61	139
HGLibA_26514	LILRB3	199	156	133	129	90	99
HGLibA_31122	NAP1L5	246	242	351	353	437	275
HGLibA_03102	ARPP21	50	59	76	49	145	45
HGLibA_35530	PCDHGA2	139	127	198	109	64	129
HGLibA_60485	hsa-mir-4510	102	59	92	73	17	55
HGLibA_60325	hsa-mir-4478	129	97	144	236	141	127
HGLibA_32169	NME6	225	109	126	150	258	146
HGLibA_36929	PLAA	147	135	152	144	118	61
HGLibA_40894	REXO1L1	140	77	70	36	45	33
HGLibA_42154	RPS6	183	229	152	145	233	117
HGLibA_61125	hsa-mir-4757	286	264	385	224	347	273
HGLibA_62171	hsa-mir-5583-1	344	308	343	258	508	346
HGLibA_57477	hsa-mir-1263	180	190	213	221	284	190
HGLibA_01826	AMPD2	87	78	113	136	151	71
HGLibA_48391	TAS2R31	90	109	108	97	192	105
HGLibA_10617	COL8A2	164	88	119	134	108	134
HGLibA_57760	hsa-mir-1321	144	97	178	112	230	134
HGLibA_11734	CTSW	174	183	254	234	275	240
HGLibA_55711	ZNF274	77	80	88	30	90	75
HGLibA_14568	EFHB	37	32	24	63	45	44
HGLibA_04729	BPIFB4	126	77	112	137	87	78
HGLibA_07663	CCDC158	140	179	155	207	135	152
HGLibA_44070	SHOX_X	453	532	358	361	425	426
HGLibA_40786	REEP4	192	76	177	145	126	234
HGLibA_52605	UBE2G1	192	221	254	271	262	177
HGLibA_26826	LOC100287534	90	131	92	105	81	105
HGLibA_53457	UTRN	129	101	110	67	6	84
HGLibA_10572	COL4A3	408	452	444	353	531	400
HGLibA_45706	SMG7	97	55	52	149	88	27
HGLibA_21029	HDC	129	125	163	115	124	130
HGLibA_23287	ING2	70	48	72	63	77	38
HGLibA_44052	SHISA8	121	88	192	120	197	168
HGLibA_19635	GOLGA7	25	43	44	15	0	15
HGLibA_01368	AIRE	105	101	98	87	129	88
HGLibA_48411	TAS2R43	117	73	111	108	154	99
HGLibA_57558	hsa-mir-1276	95	101	150	95	120	103
HGLibA_26425	LHFP	124	81	157	143	86	75
HGLibA_25518	KRT6C	102	146	159	134	148	116
HGLibA_24726	KIAA1244	101	141	114	150	85	101
HGLibA_63915	hsa-mir-7641-1	75	77	17	62	93	34
HGLibA_38546	PRKCE	116	153	124	106	281	160
HGLibA_52603	UBE2F	192	213	184	187	122	137
HGLibA_24343	KCNMB1	85	76	144	66	207	144
HGLibA_59446	hsa-mir-378e	152	122	171	121	180	190
HGLibA_20223	GRB10	432	317	360	388	503	294
HGLibA_41308	RIOK1	113	81	72	100	64	60
HGLibA_64403	NonTargetingControlGuideForHuman_0020	153	157	86	179	102	198
HGLibA_18503	GAL3ST3	161	102	152	122	226	122
HGLibA_45444	SLCO1A2	41	72	41	62	84	32
HGLibA_00655	ACTR2	38	33	28	49	80	7
HGLibA_09384	CHD1	112	110	96	111	121	76
HGLibA_17857	FOXE1	123	137	162	169	236	98
HGLibA_01506	AKT1	216	296	245	255	136	167
HGLibA_56589	ZNF705B	77	82	60	38	66	70
HGLibA_05905	C1orf94	462	409	398	411	427	380
HGLibA_47235	ST20-MTHFS	188	199	220	283	365	231
HGLibA_26791	LOC100130539	126	84	120	126	136	150
HGLibA_24410	KCTD1	86	160	112	106	80	185
HGLibA_48005	SYNJ2	146	165	167	152	148	122
HGLibA_49035	TESPA1	124	92	75	125	138	70
HGLibA_26588	LINGO2	262	292	199	240	349	178
HGLibA_10435	CNTNAP5	120	130	160	105	188	145
HGLibA_46590	SPDYE3	358	457	365	535	361	317
HGLibA_16057	FAM120AOS	230	231	246	263	457	280
HGLibA_35387	PCDH10	175	157	78	141	106	136
HGLibA_08009	CCL26	108	107	168	115	74	104
HGLibA_04684	BOLA2	308	355	333	401	481	336
HGLibA_38420	PRDX5	122	172	203	249	205	183
HGLibA_43237	SEC24D	109	130	140	98	150	101
HGLibA_17942	FOXQ1	123	107	91	75	182	93
HGLibA_31243	NBPF8	62	102	105	101	72	80
HGLibA_31220	NBPF1	133	75	96	156	96	55
HGLibA_12490	DCHS1	96	100	71	113	72	111
HGLibA_33325	OGN	105	130	132	93	101	64
HGLibA_29411	MLLT10	218	249	215	265	450	188
HGLibA_09671	CHUK	123	122	135	175	155	98
HGLibA_37267	PLXNA4	284	321	256	294	453	257
HGLibA_62579	hsa-mir-6080	145	138	140	165	185	190
HGLibA_61355	hsa-mir-489	99	121	137	106	139	89
HGLibA_14024	DSG2	168	248	130	222	271	155
HGLibA_46321	SPA17	252	296	238	300	302	282
HGLibA_38265	PRADC1	94	90	73	92	157	77
HGLibA_15292	EPHA3	170	202	234	206	195	201
HGLibA_02286	AP1G2	123	110	95	115	180	56
HGLibA_48633	TBR1	155	153	140	175	157	128
HGLibA_22896	IGSF5	113	116	160	94	117	95
HGLibA_37553	POLR1B	79	51	31	32	12	23
HGLibA_56905	ZNF91	42	50	78	66	103	46
HGLibA_03517	ATL2	125	144	177	149	136	107
HGLibA_41652	RNF24	94	70	120	100	78	107
HGLibA_62358	hsa-mir-5704	215	201	252	257	392	201
HGLibA_62813	hsa-mir-642b	82	83	79	135	154	114
HGLibA_59782	hsa-mir-4269	236	210	217	165	363	267
HGLibA_55053	ZCRB1	118	94	61	109	46	143
HGLibA_23790	ITGB5	335	356	360	265	470	270
HGLibA_07551	CCDC114	207	257	264	313	284	242
HGLibA_63418	hsa-mir-6810	77	40	91	55	69	69
HGLibA_08177	CCRL2	23	20	34	49	64	23
HGLibA_49019	TERT	210	211	229	343	187	212
HGLibA_13782	DOK6	110	98	83	122	165	129
HGLibA_20856	HARS	49	60	27	74	63	9
HGLibA_48010	SYNJ2BP	248	213	162	335	401	215
HGLibA_64577	NonTargetingControlGuideForHuman_0194	147	148	168	129	239	71
HGLibA_13972	DRD5	229	197	194	227	238	175
HGLibA_29265	MIF4GD	83	126	128	115	202	91
HGLibA_20466	GSTCD	226	275	219	298	214	219
HGLibA_30736	MYH7B	131	102	158	140	164	83
HGLibA_46974	SRGAP2B	228	211	95	287	278	175
HGLibA_20959	HCFC1	189	114	90	162	145	133
HGLibA_03811	ATR	42	54	30	38	10	31
HGLibA_00345	ACAA2	96	80	107	119	161	113
HGLibA_03455	ATF7IP	156	151	178	138	113	124
HGLibA_20771	H2BFM	91	138	76	58	121	44
HGLibA_06793	CA12	71	83	61	72	29	84
HGLibA_42679	SAMD3	290	281	310	244	438	251
HGLibA_48389	TAS2R31	253	212	300	261	392	225
HGLibA_02943	ARL14EPL	174	141	108	159	133	165
HGLibA_02441	APLP1	162	134	99	101	56	56
HGLibA_58516	hsa-mir-3118-3	189	158	176	190	121	219
HGLibA_41336	RIT1	208	207	221	202	312	207
HGLibA_33047	NUP35	46	29	33	1	46	50
HGLibA_29725	MPHOSPH6	403	291	431	411	489	418
HGLibA_49241	TGIF2	6	6	42	9	26	11
HGLibA_10095	CLP1	60	12	14	55	0	15
HGLibA_21001	HDAC10	102	97	123	94	266	100
HGLibA_26111	LCE1E	134	82	138	62	51	57
HGLibA_18320	GAB1	54	68	78	141	106	105
HGLibA_17336	FGA	159	146	181	191	267	134
HGLibA_51681	TRMT1L	51	65	78	102	78	64
HGLibA_56873	ZNF850	111	62	80	71	68	69
HGLibA_04272	BCDIN3D	78	64	71	115	77	77
HGLibA_26313	LEPR	74	87	77	105	96	70
HGLibA_63098	hsa-mir-6736	42	53	56	27	31	34
HGLibA_15219	ENTPD8	129	206	182	257	231	128
HGLibA_33681	OR1J4	158	179	163	234	399	179
HGLibA_29741	MPND	59	47	50	102	161	100
HGLibA_27637	LUZP1	39	46	31	28	47	36
HGLibA_43881	SH2B3	223	208	226	257	192	295
HGLibA_42765	SASH3	390	392	464	371	447	324
HGLibA_57942	hsa-mir-15b	47	58	80	53	33	77
